db,u,g,r,i,z,y
too_elab_r16_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6190950.689586977,10469904.204564124,12041206.23108447,12435961.13936193,12000913.652440315,9670570.505309189
weather_cloudso16v3_4_10yrs_QSONumberCountsMetric,6174520.480628543,10466363.596367221,12052163.675737403,12457427.076700807,11999017.278166544,9670063.001465075
too_10_4v3_4_10yrs_QSONumberCountsMetric,6187648.79565125,10466810.966835272,12037940.044596601,12438331.107555844,12001789.710044485,9669641.985223237
ddf_acor_sf15_lsf30_lsr20_v3_4_10yrs_QSONumberCountsMetric,6182250.147718294,10472269.95940791,12027910.398448572,12423057.255826566,11997546.691232756,9667132.574852463
too_5_1v3_4_10yrs_QSONumberCountsMetric,6174709.375072973,10482054.68682828,12036984.646322694,12429747.636458986,12008049.036603104,9660542.365931941
ddf_loaded_half_fl8_v3_4_10yrs_QSONumberCountsMetric,6172386.996200038,10470723.185428554,12046490.72743315,12439501.964002652,12001879.672311679,9664836.897003647
too_combined_s0_0_v3_4_10yrs_QSONumberCountsMetric,6192967.498041714,10492066.912777439,12040008.948964633,12413907.997060962,11991446.72459733,9685041.437684985
too_combined_no_gw_s1_0_v3_4_10yrs_QSONumberCountsMetric,6213199.163609685,10478542.47200841,12042280.5746873,12410027.662855115,11984700.587260958,9689476.913730823
too_elab_r32_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6179996.966167505,10458098.446298653,12034897.553777026,12433973.674805056,11999100.888669116,9661424.65862794
ddf_acor_sf25_lsf40_lsr20_v3_4_10yrs_QSONumberCountsMetric,6178584.834012467,10465627.302462578,12032080.013414234,12420287.715839226,11995161.266480992,9674176.037612598
too_elab_r8_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6201924.870173423,10475615.09304946,12042289.638099503,12436599.624419406,11999995.954490196,9668912.785685603
weather_cloudso10v3_4_10yrs_QSONumberCountsMetric,6196976.357358429,10479064.189763889,12050436.759287223,12445202.06065266,11997558.235465456,9666965.902150273
too_elab_heavy_r64_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6159734.687010746,10427103.54401841,12021583.646980908,12425418.895743165,11999578.021825561,9653330.172927337
too_elab_r64_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6177170.932227109,10439953.308377828,12032571.319828756,12431071.031497065,11996453.596139388,9656489.096298609
too_elab_r256_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6162225.220766238,10413601.839688776,12010711.860048994,12422193.126355797,11987340.245775828,9624500.57878968
ddf_acor_sf15_lsf40_lsr20_v3_4_10yrs_QSONumberCountsMetric,6190255.264378285,10480026.884925935,12042532.326842494,12435210.169734256,11993348.443166718,9663342.88118624
ddf_acor_sf25_lsf30_lsr10_v3_4_10yrs_QSONumberCountsMetric,6182091.469140148,10461210.120736737,12031117.58447606,12423488.178629745,11994024.226586217,9657755.601610223
too_combined_s0_5_v3_4_10yrs_QSONumberCountsMetric,6210620.269686276,10487693.812630221,12047982.512341186,12415408.52737364,11973217.065719392,9661022.427125284
too_elab_2yr_r128_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6176800.487625494,10458391.800876515,12025606.247551918,12430510.447810471,11995029.788305849,9653755.710487284
too_elab_r64_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6206328.5533341095,10446938.161525086,12026036.020466909,12425326.299107037,11999777.101098524,9762481.129984181
too_elab_r32_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6182236.096422052,10461644.773198979,12035120.059635475,12438689.337841656,12001005.691040443,9655632.715461675
ddf_loaded_half_fl4_v3_4_10yrs_QSONumberCountsMetric,6190813.374495881,10483028.928389322,12047729.016850777,12448389.915668532,12011110.991363734,9672994.566817872
too_elab_r32_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6185926.729610024,10457839.125960657,12039442.189808842,12436219.74434425,11999366.623785539,9657936.2281005
too_combined_s0_5_v3_4_stripped_10yrs_QSONumberCountsMetric,6191253.188606606,10449895.779576551,12012326.749730732,12389868.228739172,11970959.8989021,9660502.971132196
too_elab_r256_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6141684.895459918,10406123.68172941,12014213.97680274,12413547.014285127,11979617.064108893,9626691.898411516
too_elab_r16_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6205543.125791832,10461254.606173163,12031933.770869583,12424687.821338367,12004605.588902397,9698815.659560915
too_elab_r256_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6182665.312791962,10415911.073401116,12012586.165058495,12420081.034560585,11974084.32037494,9649466.374700813
